painting_index,img_src,season,episode,num_of_colors,yt_src,colors_list,hex_list,subject_list,notes
264,https://www.twoinchbrush.com/images/painting264.png,3,9,10,https://www.youtube.com/embed/OFKFUJ9eDNs,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#0C0040', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['BUSHES', 'CABIN', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'MILL', 'RIVER', 'STRUCTURE', 'TREE', 'TREES']",
265,https://www.twoinchbrush.com/images/painting265.png,3,10,8,https://www.youtube.com/embed/L5bXkI0-pEg,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#000000', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#221B15', '#C79B00']","['BUSHES', 'DECIDUOUS', 'FIRE', 'LAKE', 'PERSON', 'TREE', 'TREES']",
266,https://www.twoinchbrush.com/images/painting266.png,3,11,12,https://www.youtube.com/embed/WJJwrnFhUUg,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['BARN', 'DECIDUOUS', 'FENCE', 'LAKE', 'STRUCTURE', 'TREE', 'TREES']",
267,https://www.twoinchbrush.com/images/painting267.png,3,12,10,https://www.youtube.com/embed/P_DaqkFbnac,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#0C0040', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['BUSHES', 'CONIFER', 'DECIDUOUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']",
268,https://www.twoinchbrush.com/images/painting268.png,3,13,9,https://www.youtube.com/embed/Z0vtjRLqXcQ,"['Alizarin Crimson', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#FFEC00', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'GUEST', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'STEVE_ROSS', 'TREE', 'TREES']",
243,https://www.twoinchbrush.com/images/painting243.png,4,1,4,https://www.youtube.com/embed/hP4GfMgsNVE,"['Alizarin Crimson', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#0C0040', '#FFFFFF', '#221B15']","['CABIN', 'CONIFER', 'LAKE', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']",
244,https://www.twoinchbrush.com/images/painting244.png,4,2,10,https://www.youtube.com/embed/PbchoOWWCZs,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['BUSHES', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']",
245,https://www.twoinchbrush.com/images/painting245.png,4,3,12,https://www.youtube.com/embed/NcVeRlPu_5w,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['BUSHES', 'CONIFER', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']",
246,https://www.twoinchbrush.com/images/painting246.png,4,4,7,https://www.youtube.com/embed/lmKAwKrONmE,"['Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Midnight Black\r\n\r\n', 'Prussian Blue', 'Titanium White']","['#000000', '#DB0000', '#8A3324', '#FFEC00', '#000000', '#021E44', '#FFFFFF']","['CABIN', 'CIRCLE_FRAME', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'FRAMED', 'GUEST', 'LAKE', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']",
247,https://www.twoinchbrush.com/images/painting247.png,4,5,10,https://www.youtube.com/embed/y5k4GXw_-yI,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['#4E1500', '#000000', '#DB0000', '#8A3324', '#FFEC00', '#0C0040', '#102E3C', '#021E44', '#FFFFFF', '#221B15']","['BEACH', 'CLIFF', 'CLOUDS', 'CONIFER', 'CUMULUS', 'OCEAN', 'ROCKS', 'TREE', 'TREES', 'WAVES']",
248,https://www.twoinchbrush.com/images/painting248.png,4,6,11,https://www.youtube.com/embed/GBN9AIw3Ao4,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['BUSHES', 'DECIDUOUS', 'LAKE', 'TREE', 'TREES']",
249,https://www.twoinchbrush.com/images/painting249.png,4,7,11,https://www.youtube.com/embed/81QKellPA70,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green\r\n', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#0C0040', '#102E3C', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['CABIN', 'DECIDUOUS', 'GRASS', 'PATH', 'STRUCTURE', 'TREE', 'TREES']",
250,https://www.twoinchbrush.com/images/painting250.png,4,8,10,https://www.youtube.com/embed/2FpVyGanPwM,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['#4E1500', '#DB0000', '#8A3324', '#FFEC00', '#FFB800', '#021E44', '#0A3410', '#FFFFFF', '#221B15', '#C79B00']","['CONIFER', 'DECIDUOUS', 'GRASS', 'LAKE', 'TREE', 'TREES']",
